komentar,emosi,sentimen
"Ini mah keterlaluan, parahnya bukan main, udah jatuh ditimpa kamera polisi, cuma share aja",Lainnya,
"Kocak tapi miris, viral kayak gini penting biar dibuka matanya, let’s discuss",Lainnya,
"Gue gak habis pikir, parahnya bukan main, udah jatuh ditimpa kamera polisi, penasaran ama opini kalian",Lainnya,
"Bener juga ya, semoga korban dapet keadilan 🙏, cuma share aja",Lainnya,
"Anjir sumpah, malu banget ama instansi yang harusnya melindungi, any thoughts?",Marah,
"Kocak tapi miris, tugas polisi bukan jadi kameramen, let’s discuss",Lainnya,
"Gue setuju sih, semoga institusi berbenah, lagi rame nih",Lainnya,
"Bener juga ya, jangan takut speak up soal ketidakadilan, sekian aja sih",Takut,
"Gue baru kepikiran, jangan takut speak up soal ketidakadilan, cuma share aja",Takut,
"Btw guys, kita bayar pajak buat ditontonin doang?, sekilas pikiran aja",Lainnya,
"Lo pernah liat video itu gak, kita bayar pajak buat ditontonin doang?, good vibes only",Lainnya,
"Gue baru kepikiran, fungsi polisi buat apa kalo gini?, gimana menurut lo?",Lainnya,
"Nyata banget ini, fungsi polisi buat apa kalo gini?, peace all ✌️",Lainnya,
"Baru ngeh deh, semoga pelaku dihukum setimpal, gimana menurut lo?",Lainnya,
"Gue gak habis pikir, viral kayak gini penting biar dibuka matanya, apa pendapat kalian?",Lainnya,
"Gue gak habis pikir, masih banyak orang baik yang peduli, sekian aja sih",Lainnya,
"Nyata banget ini, penasaran sama klarifikasi dari pihak polisi, apa pendapat kalian?",Lainnya,
"Sadar gak sih, penasaran sama klarifikasi dari pihak polisi, any thoughts?",Lainnya,
"Fix banget, masih nunggu penjelasan dari pihak berwenang, setuju gak?",Lainnya,
"Lo pernah liat video itu gak, ini bukan cuma salah pelaku, yang diem juga bersalah, lagi rame nih",Lainnya,
"Gue setuju sih, harusnya viral biar ditindak, good vibes only",Lainnya,
"Sadar gak sih, semoga Polri mau introspeksi, let’s discuss",Lainnya,
"Miris banget, masyarakat gak boleh diam aja sih, any thoughts?",Lainnya,
"Asli parah, kalo rakyat kecil, pasti udah ditangkap tuh, peace all ✌️",Lainnya,
"Kocak tapi miris, kita bayar pajak buat ditontonin doang?, let’s discuss",Lainnya,
"Fix banget, liat-liat dulu aja deh, gimana menurut lo?",Lainnya,
"Gokil sih, bikin malu banget sih polisi cuma rekam doang, apa pendapat kalian?",Lainnya,
"Gak masuk akal sih, bener-bener kehilangan rasa aman sih, lagi rame nih",Sedih,
"Sadar gak sih, jangan-jangan udah biasa diem aja?, any thoughts?",Lainnya,
"Menurut gw, itu debt collector udah kayak preman, curious ama pendapat lain",Lainnya,
"Fix banget, masih coba cerna kenapa gak ada yang bantu, any thoughts?",Lainnya,
"Miris banget, kebetulan nongol terus di FYP, semoga bermanfaat",Lainnya,
"Gue gak habis pikir, semoga pelaku dihukum setimpal, tetap waspada guys 💪",Lainnya,
"Baru ngeh deh, tugas polisi bukan jadi kameramen, setuju gak?",Lainnya,
"Asli serem, kok bisa diem aja sih? 😤, lagi rame nih",Lainnya,
"Ini mah keterlaluan, penting banget edukasi hukum ke masyarakat, apa pendapat kalian?",Sedih,
"Kocak tapi miris, penting banget edukasi hukum ke masyarakat, any thoughts?",Sedih,
"Serius deh, kita harus bareng-bareng jaga keadilan, peace all ✌️",Lainnya,
"Btw guys, semoga korban dapet bantuan hukum, any thoughts?",Lainnya,
"Gue setuju sih, bingung ama kronologinya, gimana menurut lo?",Lainnya,
"Lo pernah liat video itu gak, rame banget yang repost, ini opini pribadi",Lainnya,
"Gokil sih, jangan-jangan udah biasa diem aja?, sekilas pikiran aja",Lainnya,
"Kocak tapi miris, respect sama orang yang rekam dan sebarin videonya, cmiiw ya",Lainnya,
"Lo pernah liat video itu gak, viral kayak gini penting biar dibuka matanya, gak ada maksud jelek",Lainnya,
"Lo pernah liat video itu gak, rame banget yang repost, gimana menurut lo?",Lainnya,
"Gue gak habis pikir, jangan sampe kejadian kayak gini keulang lagi, ini opini pribadi",Lainnya,
"Fix banget, semoga pelaku dan pembiar dihukum adil, setuju gak?",Lainnya,
"Menurut gw, sekilas kayak pembiaran, tapi pengen liat konfirmasi dulu, gimana menurut lo?",Lainnya,
"Menurut gw, kayaknya bakal panjang urusannya, setuju gak?",Lainnya,
"Baru ngeh deh, gak ngerti ama logika aparat sekarang, tetap waspada guys 💪",Lainnya,
"Nyata banget ini, itu debt collector udah kayak preman, peace all ✌️",Lainnya,
"Serius deh, harusnya viral biar ditindak, apa pendapat kalian?",Lainnya,
"Gue gak habis pikir, viral kayak gini penting biar dibuka matanya, ini opini pribadi",Lainnya,
"Btw guys, parahnya bukan main, udah jatuh ditimpa kamera polisi, setuju gak?",Lainnya,
"Miris banget, sekilas kayak pembiaran, tapi pengen liat konfirmasi dulu, peace all ✌️",Lainnya,
"Anjir sumpah, malu banget ama instansi yang harusnya melindungi, santai aja bacanya",Marah,
"Btw guys, ga tau harus bela siapa dulu, sekian aja sih",Lainnya,
"Asli serem, pro kontra banget sih ini, santai aja bacanya",Lainnya,
"Fix banget, viral kayak gini penting biar dibuka matanya, santai aja bacanya",Lainnya,
"Nyata banget ini, masih nunggu penjelasan dari pihak berwenang, sekian aja sih",Lainnya,
"Kocak tapi miris, semoga korban dapet bantuan hukum, sekian aja sih",Lainnya,
"Sadar gak sih, jangan-jangan udah biasa diem aja?, tetap waspada guys 💪",Lainnya,
"Btw guys, bener-bener kehilangan rasa aman sih, curious ama pendapat lain",Sedih,
"Asli parah, kok bisa kejadian di depan mapolri?, any thoughts?",Lainnya,
"Lo pernah liat video itu gak, belum ngerti konteks lengkapnya, sekian aja sih",Lainnya,
"Gue setuju sih, doain korban kuat dan sehat terus, let’s discuss",Lainnya,
"Baru ngeh deh, ini kalo gak viral, bakalan hilang gitu aja, semoga bermanfaat",Lainnya,
"Btw guys, pengen tau ending-nya gimana nanti, apa pendapat kalian?",Lainnya,
"Gue gak habis pikir, kayaknya bakal panjang urusannya, gak ada maksud jelek",Lainnya,
"Asli serem, respect sama orang yang rekam dan sebarin videonya, semoga bermanfaat",Lainnya,
"Gak masuk akal sih, kok bisa diem aja sih? 😤, semoga bermanfaat",Lainnya,
"Sadar gak sih, bikin malu banget sih polisi cuma rekam doang, santai aja bacanya",Lainnya,
"Ini mah keterlaluan, masih banyak orang baik yang peduli, good vibes only",Lainnya,
"Menurut gw, ini bukan cuma salah pelaku, yang diem juga bersalah, sekilas pikiran aja",Lainnya,
"Gue baru kepikiran, semoga pelaku dihukum setimpal, cmiiw ya",Lainnya,
"Serius deh, ini kalo gak viral, bakalan hilang gitu aja, semoga bermanfaat",Lainnya,
"Menurut gw, harusnya viral biar ditindak, curious ama pendapat lain",Lainnya,
"Asli parah, penasaran sama klarifikasi dari pihak polisi, cuma share aja",Lainnya,
"Lo pernah liat video itu gak, bikin malu banget sih polisi cuma rekam doang, sekian aja sih",Lainnya,
"Serius deh, jangan sampe kejadian kayak gini keulang lagi, peace all ✌️",Lainnya,
"Gue setuju sih, masih banyak orang baik yang peduli, setuju gak?",Lainnya,
"Kocak tapi miris, debt collector liar makin berani karena dibiarin, apa pendapat kalian?",Lainnya,
"Nyata banget ini, liat-liat dulu aja deh, sekian aja sih",Lainnya,
"Gak masuk akal sih, bener-bener kehilangan rasa aman sih, penasaran ama opini kalian",Sedih,
"Anjir sumpah, semoga korban dapet bantuan hukum, peace all ✌️",Marah,
"Serius deh, gak ngerti ama logika aparat sekarang, setuju gak?",Lainnya,
"Kocak tapi miris, jangan takut speak up soal ketidakadilan, any thoughts?",Takut,
"Baru ngeh deh, semoga institusi berbenah, gimana menurut lo?",Lainnya,
"Menurut gw, kita bayar pajak buat ditontonin doang?, setuju gak?",Lainnya,
"Baru ngeh deh, jangan-jangan udah biasa diem aja?, tetap waspada guys 💪",Lainnya,
"Sadar gak sih, akhirnya banyak yang buka suara soal ini 👏, ini opini pribadi",Lainnya,
"Ini mah keterlaluan, akhirnya banyak yang buka suara soal ini 👏, good vibes only",Lainnya,
"Asli serem, semoga korban dapet keadilan 🙏, gimana menurut lo?",Lainnya,
"Sadar gak sih, mudah-mudahan jadi pelajaran buat semuanya, let’s discuss",Lainnya,
"Btw guys, jangan-jangan udah biasa diem aja?, good vibes only",Lainnya,
"Kocak tapi miris, semoga institusi berbenah, tetap waspada guys 💪",Lainnya,
"Baru ngeh deh, masa kejadian kayak gitu ga ditindak?, cmiiw ya",Lainnya,
"Menurut gw, penting banget edukasi hukum ke masyarakat, curious ama pendapat lain",Sedih,
"Miris banget, tindakan kayak gini harusnya dilawan bareng-bareng, sekian aja sih",Lainnya,
"Anjir sumpah, kayaknya bakal panjang urusannya, gimana menurut lo?",Marah,
"Ini mah keterlaluan, ini kalo gak viral, bakalan hilang gitu aja, any thoughts?",Lainnya,
"Asli serem, semoga korban dapet bantuan hukum, apa pendapat kalian?",Lainnya,
"Kocak tapi miris, semoga korban dapet keadilan 🙏, cuma share aja",Lainnya,
"Gue baru kepikiran, penting banget edukasi hukum ke masyarakat, curious ama pendapat lain",Sedih,
"Gak masuk akal sih, kok bisa diem aja sih? 😤, let’s discuss",Lainnya,
"Btw guys, kok bisa diem aja sih? 😤, semoga bermanfaat",Lainnya,
"Kocak tapi miris, semoga ini jadi titik balik perubahan, ini opini pribadi",Lainnya,
"Gue gak habis pikir, semoga Polri mau introspeksi, gimana menurut lo?",Lainnya,
"Gue gak habis pikir, lumayan viral nih kasusnya, gak ada maksud jelek",Lainnya,
"Asli serem, parahnya bukan main, udah jatuh ditimpa kamera polisi, let’s discuss",Lainnya,
"Gue setuju sih, fungsi polisi buat apa kalo gini?, good vibes only",Lainnya,
"Fix banget, kok bisa kejadian di depan mapolri?, penasaran ama opini kalian",Lainnya,
"Asli serem, semoga korban dapet keadilan 🙏, cmiiw ya",Lainnya,
"Sadar gak sih, debt collector liar makin berani karena dibiarin, good vibes only",Lainnya,
"Lo pernah liat video itu gak, gak ngerti ama logika aparat sekarang, cuma share aja",Lainnya,
"Gue gak habis pikir, semoga pelaku dan pembiar dihukum adil, no hate ya",Lainnya,
"Serius deh, ini kalo gak viral, bakalan hilang gitu aja, tetap waspada guys 💪",Lainnya,
"Kocak tapi miris, kok bisa diem aja sih? 😤, sekian aja sih",Lainnya,
"Gue baru kepikiran, ini bukan cuma salah pelaku, yang diem juga bersalah, lagi rame nih",Lainnya,
"Serius deh, masa kejadian kayak gitu ga ditindak?, no hate ya",Lainnya,
"Lo pernah liat video itu gak, semoga ini jadi titik balik perubahan, tetap waspada guys 💪",Lainnya,
"Gokil sih, kita bayar pajak buat ditontonin doang?, any thoughts?",Lainnya,
"Gue setuju sih, polisinya malah nontonin, sumpah absurd, curious ama pendapat lain",Lainnya,
"Gue baru kepikiran, semoga ini jadi titik balik perubahan, apa pendapat kalian?",Lainnya,
"Btw guys, masyarakat gak boleh diam aja sih, setuju gak?",Lainnya,
"Bener juga ya, sekilas kayak pembiaran, tapi pengen liat konfirmasi dulu, penasaran ama opini kalian",Lainnya,
"Bener juga ya, bener-bener kehilangan rasa aman sih, sekilas pikiran aja",Sedih,
"Gue gak habis pikir, tugas polisi bukan jadi kameramen, good vibes only",Lainnya,
"Gue baru kepikiran, respect sama orang yang rekam dan sebarin videonya, semoga bermanfaat",Lainnya,
"Fix banget, masih banyak orang baik yang peduli, cmiiw ya",Lainnya,
"Asli parah, lagi trending banget di explore, cuma share aja",Lainnya,
"Sadar gak sih, masih banyak orang baik yang peduli, semoga bermanfaat",Lainnya,
"Fix banget, udah kayak negara tanpa hukum, peace all ✌️",Lainnya,
"Baru ngeh deh, fungsi polisi buat apa kalo gini?, curious ama pendapat lain",Lainnya,
"Asli serem, semoga Polri mau introspeksi, no hate ya",Lainnya,
"Asli serem, semoga korban dapet bantuan hukum, cuma share aja",Lainnya,
"Serius deh, lumayan viral nih kasusnya, cmiiw ya",Lainnya,
"Anjir sumpah, kita bayar pajak buat ditontonin doang?, ini opini pribadi",Marah,
"Gue baru kepikiran, itu debt collector udah kayak preman, good vibes only",Lainnya,
"Miris banget, belum ngerti konteks lengkapnya, lagi rame nih",Lainnya,
"Gue baru kepikiran, tindakan kayak gini harusnya dilawan bareng-bareng, setuju gak?",Lainnya,
"Kocak tapi miris, miris banget lihat pembiaran kekerasan gitu, lagi rame nih",Lainnya,
"Fix banget, malu banget ama instansi yang harusnya melindungi, no hate ya",Lainnya,
"Serius deh, masih nunggu penjelasan dari pihak berwenang, gimana menurut lo?",Lainnya,
"Gokil sih, semoga institusi berbenah, semoga bermanfaat",Lainnya,
"Baru ngeh deh, lagi trending banget di explore, no hate ya",Lainnya,
"Nyata banget ini, viral kayak gini penting biar dibuka matanya, peace all ✌️",Lainnya,
"Gak masuk akal sih, ini bukan cuma salah pelaku, yang diem juga bersalah, sekilas pikiran aja",Lainnya,
"Nyata banget ini, rame banget yang repost, santai aja bacanya",Lainnya,
"Kocak tapi miris, masih banyak orang baik yang peduli, cuma share aja",Lainnya,
"Asli parah, jangan takut speak up soal ketidakadilan, lagi rame nih",Takut,
"Lo pernah liat video itu gak, masyarakat gak boleh diam aja sih, no hate ya",Lainnya,
"Gue gak habis pikir, pro kontra banget sih ini, santai aja bacanya",Lainnya,
"Gak masuk akal sih, malu banget ama instansi yang harusnya melindungi, sekilas pikiran aja",Lainnya,
"Sadar gak sih, ini kalo gak viral, bakalan hilang gitu aja, lagi rame nih",Lainnya,
"Gak masuk akal sih, jangan takut speak up soal ketidakadilan, good vibes only",Takut,
"Ini mah keterlaluan, semoga pelaku dihukum setimpal, tetap waspada guys 💪",Lainnya,
"Kocak tapi miris, miris banget lihat pembiaran kekerasan gitu, cuma share aja",Lainnya,
"Miris banget, tugas polisi bukan jadi kameramen, any thoughts?",Lainnya,
"Lo pernah liat video itu gak, belum jelas juga siapa yang bener, santai aja bacanya",Lainnya,
"Bener juga ya, masih banyak orang baik yang peduli, santai aja bacanya",Lainnya,
"Asli parah, rame banget yang repost, peace all ✌️",Lainnya,
"Menurut gw, semoga pelaku dihukum setimpal, any thoughts?",Lainnya,
"Baru ngeh deh, belum tau latar belakangnya, cuma share aja",Lainnya,
"Miris banget, akhirnya banyak yang buka suara soal ini 👏, sekian aja sih",Lainnya,
"Lo pernah liat video itu gak, bener-bener kehilangan rasa aman sih, gak ada maksud jelek",Sedih,
"Gak masuk akal sih, kok bisa diem aja sih? 😤, no hate ya",Lainnya,
"Asli serem, fungsi polisi buat apa kalo gini?, peace all ✌️",Lainnya,
"Gue gak habis pikir, jangan-jangan udah biasa diem aja?, cuma share aja",Lainnya,
"Btw guys, pengen tau ending-nya gimana nanti, lagi rame nih",Lainnya,
"Anjir sumpah, jangan sampe kejadian kayak gini keulang lagi, good vibes only",Marah,
"Btw guys, fungsi polisi buat apa kalo gini?, gimana menurut lo?",Lainnya,
"Gak masuk akal sih, mudah-mudahan jadi pelajaran buat semuanya, curious ama pendapat lain",Lainnya,
"Gue baru kepikiran, doain korban kuat dan sehat terus, cuma share aja",Lainnya,
"Gue baru kepikiran, jangan-jangan udah biasa diem aja?, good vibes only",Lainnya,
"Anjir sumpah, jangan takut speak up soal ketidakadilan, gimana menurut lo?",Marah,
"Btw guys, malu banget ama instansi yang harusnya melindungi, santai aja bacanya",Lainnya,
"Baru ngeh deh, jangan-jangan udah biasa diem aja?, gak ada maksud jelek",Lainnya,
"Anjir sumpah, semoga institusi berbenah, curious ama pendapat lain",Marah,
"Gue gak habis pikir, tugas polisi bukan jadi kameramen, let’s discuss",Lainnya,
"Anjir sumpah, lagi trending banget di explore, cmiiw ya",Marah,
"Ini mah keterlaluan, itu debt collector udah kayak preman, ini opini pribadi",Lainnya,
"Asli serem, bener-bener kehilangan rasa aman sih, tetap waspada guys 💪",Sedih,
"Menurut gw, rame banget debatnya di medsos, any thoughts?",Lainnya,
"Kocak tapi miris, belum ngerti konteks lengkapnya, curious ama pendapat lain",Lainnya,
"Asli serem, kita bayar pajak buat ditontonin doang?, penasaran ama opini kalian",Lainnya,
"Kocak tapi miris, kita bayar pajak buat ditontonin doang?, apa pendapat kalian?",Lainnya,
"Gue gak habis pikir, penasaran sama klarifikasi dari pihak polisi, curious ama pendapat lain",Lainnya,
"Nyata banget ini, akhirnya banyak yang buka suara soal ini 👏, sekilas pikiran aja",Lainnya,
"Btw guys, semoga pelaku dihukum setimpal, ini opini pribadi",Lainnya,
"Sadar gak sih, masih coba cerna kenapa gak ada yang bantu, no hate ya",Lainnya,
"Asli serem, bikin malu banget sih polisi cuma rekam doang, let’s discuss",Lainnya,
"Sadar gak sih, itu debt collector udah kayak preman, tetap waspada guys 💪",Lainnya,
"Btw guys, bingung ama kronologinya, lagi rame nih",Lainnya,
"Gue baru kepikiran, ga tau harus bela siapa dulu, lagi rame nih",Lainnya,
"Lo pernah liat video itu gak, semoga institusi berbenah, gak ada maksud jelek",Lainnya,
"Nyata banget ini, semoga korban dapet keadilan 🙏, setuju gak?",Lainnya,
"Nyata banget ini, semoga korban dapet bantuan hukum, santai aja bacanya",Lainnya,
"Gue setuju sih, kita bayar pajak buat ditontonin doang?, peace all ✌️",Lainnya,
"Serius deh, jangan sampe kejadian kayak gini keulang lagi, semoga bermanfaat",Lainnya,
"Sadar gak sih, masa kejadian kayak gitu ga ditindak?, let’s discuss",Lainnya,
"Fix banget, viral kayak gini penting biar dibuka matanya, cmiiw ya",Lainnya,
"Gue setuju sih, rame banget yang repost, good vibes only",Lainnya,
"Asli serem, kok bisa diem aja sih? 😤, cuma share aja",Lainnya,
"Btw guys, masih banyak orang baik yang peduli, cuma share aja",Lainnya,
"Asli serem, kita harus bareng-bareng jaga keadilan, any thoughts?",Lainnya,
"Sadar gak sih, malu banget ama instansi yang harusnya melindungi, gimana menurut lo?",Lainnya,
"Baru ngeh deh, masa kejadian kayak gitu ga ditindak?, no hate ya",Lainnya,
"Asli serem, kalo rakyat kecil, pasti udah ditangkap tuh, santai aja bacanya",Lainnya,
"Asli parah, respect sama orang yang rekam dan sebarin videonya, sekian aja sih",Lainnya,
"Fix banget, parahnya bukan main, udah jatuh ditimpa kamera polisi, sekian aja sih",Lainnya,
"Gue gak habis pikir, semoga korban dapet keadilan 🙏, cmiiw ya",Lainnya,
"Baru ngeh deh, itu debt collector udah kayak preman, gak ada maksud jelek",Lainnya,
"Asli parah, semoga ini jadi titik balik perubahan, penasaran ama opini kalian",Lainnya,
"Menurut gw, pro kontra banget sih ini, cuma share aja",Lainnya,
"Serius deh, belum tau latar belakangnya, peace all ✌️",Lainnya,
"Fix banget, jangan sampe kejadian kayak gini keulang lagi, sekian aja sih",Lainnya,
"Anjir sumpah, bikin malu banget sih polisi cuma rekam doang, no hate ya",Marah,
"Bener juga ya, polisinya malah nontonin, sumpah absurd, gimana menurut lo?",Lainnya,
"Menurut gw, kok bisa diem aja sih? 😤, semoga bermanfaat",Lainnya,
"Gue setuju sih, viral kayak gini penting biar dibuka matanya, curious ama pendapat lain",Lainnya,
"Gue baru kepikiran, jangan sampe kejadian kayak gini keulang lagi, setuju gak?",Lainnya,
"Bener juga ya, parahnya bukan main, udah jatuh ditimpa kamera polisi, santai aja bacanya",Lainnya,
"Serius deh, kok bisa diem aja sih? 😤, lagi rame nih",Lainnya,
"Kocak tapi miris, semoga institusi berbenah, semoga bermanfaat",Lainnya,
"Serius deh, semoga Polri mau introspeksi, lagi rame nih",Lainnya,
"Nyata banget ini, malu banget ama instansi yang harusnya melindungi, gak ada maksud jelek",Lainnya,
"Gue baru kepikiran, rame banget yang repost, gimana menurut lo?",Lainnya,
"Miris banget, kayaknya bakal panjang urusannya, gimana menurut lo?",Lainnya,
"Menurut gw, akhirnya banyak yang buka suara soal ini 👏, sekilas pikiran aja",Lainnya,
"Kocak tapi miris, semoga pelaku dan pembiar dihukum adil, sekilas pikiran aja",Lainnya,
"Ini mah keterlaluan, kok bisa kejadian di depan mapolri?, no hate ya",Lainnya,
"Gue baru kepikiran, udah kayak negara tanpa hukum, sekian aja sih",Lainnya,
"Menurut gw, penasaran sama klarifikasi dari pihak polisi, any thoughts?",Lainnya,
"Baru ngeh deh, kok bisa diem aja sih? 😤, no hate ya",Lainnya,
"Serius deh, tindakan kayak gini harusnya dilawan bareng-bareng, good vibes only",Lainnya,
"Anjir sumpah, akhirnya banyak yang buka suara soal ini 👏, tetap waspada guys 💪",Marah,
"Gue baru kepikiran, kita bayar pajak buat ditontonin doang?, gak ada maksud jelek",Lainnya,
"Gokil sih, masa kejadian kayak gitu ga ditindak?, sekian aja sih",Lainnya,
"Anjir sumpah, rame banget debatnya di medsos, ini opini pribadi",Marah,
"Baru ngeh deh, kayaknya bakal panjang urusannya, gak ada maksud jelek",Lainnya,
"Gokil sih, semoga korban dapet keadilan 🙏, any thoughts?",Lainnya,
"Sadar gak sih, udah kayak negara tanpa hukum, gimana menurut lo?",Lainnya,
"Lo pernah liat video itu gak, semoga institusi berbenah, curious ama pendapat lain",Lainnya,
"Lo pernah liat video itu gak, penting banget edukasi hukum ke masyarakat, lagi rame nih",Sedih,
"Ini mah keterlaluan, polisinya malah nontonin, sumpah absurd, setuju gak?",Lainnya,
"Gue baru kepikiran, miris banget lihat pembiaran kekerasan gitu, curious ama pendapat lain",Lainnya,
"Fix banget, respect sama orang yang rekam dan sebarin videonya, cuma share aja",Lainnya,
"Gokil sih, kalo rakyat kecil, pasti udah ditangkap tuh, penasaran ama opini kalian",Lainnya,
"Gak masuk akal sih, doain korban kuat dan sehat terus, good vibes only",Lainnya,
"Bener juga ya, doain korban kuat dan sehat terus, gak ada maksud jelek",Lainnya,
"Sadar gak sih, viral kayak gini penting biar dibuka matanya, tetap waspada guys 💪",Lainnya,
"Miris banget, viral kayak gini penting biar dibuka matanya, let’s discuss",Lainnya,
"Asli serem, semoga korban dapet bantuan hukum, gak ada maksud jelek",Lainnya,
"Kocak tapi miris, kita bayar pajak buat ditontonin doang?, cmiiw ya",Lainnya,
"Ini mah keterlaluan, penting banget edukasi hukum ke masyarakat, let’s discuss",Sedih,
"Gokil sih, akhirnya banyak yang buka suara soal ini 👏, any thoughts?",Lainnya,
"Bener juga ya, masih banyak orang baik yang peduli, curious ama pendapat lain",Lainnya,
"Baru ngeh deh, rame banget debatnya di medsos, apa pendapat kalian?",Lainnya,
"Menurut gw, semoga pelaku dihukum setimpal, good vibes only",Lainnya,
"Fix banget, semoga korban dapet keadilan 🙏, penasaran ama opini kalian",Lainnya,
"Asli parah, mudah-mudahan jadi pelajaran buat semuanya, sekilas pikiran aja",Lainnya,
"Bener juga ya, harusnya viral biar ditindak, good vibes only",Lainnya,
"Gue setuju sih, semoga ini jadi titik balik perubahan, gak ada maksud jelek",Lainnya,
"Nyata banget ini, ga tau harus bela siapa dulu, gak ada maksud jelek",Lainnya,
"Lo pernah liat video itu gak, kalo rakyat kecil, pasti udah ditangkap tuh, apa pendapat kalian?",Lainnya,
"Asli serem, respect sama orang yang rekam dan sebarin videonya, semoga bermanfaat",Lainnya,
"Gue setuju sih, harusnya viral biar ditindak, let’s discuss",Lainnya,
"Gokil sih, bener-bener kehilangan rasa aman sih, cmiiw ya",Sedih,
"Gokil sih, kalo rakyat kecil, pasti udah ditangkap tuh, santai aja bacanya",Lainnya,
"Fix banget, semoga institusi berbenah, lagi rame nih",Lainnya,
"Ini mah keterlaluan, semoga Polri mau introspeksi, no hate ya",Lainnya,
"Fix banget, jangan sampe kejadian kayak gini keulang lagi, cmiiw ya",Lainnya,
"Btw guys, malu banget ama instansi yang harusnya melindungi, cmiiw ya",Lainnya,
"Asli parah, jangan sampe kejadian kayak gini keulang lagi, gak ada maksud jelek",Lainnya,
"Ini mah keterlaluan, pro kontra banget sih ini, ini opini pribadi",Lainnya,
"Gak masuk akal sih, lumayan viral nih kasusnya, ini opini pribadi",Lainnya,
"Kocak tapi miris, kebetulan nongol terus di FYP, curious ama pendapat lain",Lainnya,
"Miris banget, kita harus bareng-bareng jaga keadilan, any thoughts?",Lainnya,
"Menurut gw, tindakan kayak gini harusnya dilawan bareng-bareng, santai aja bacanya",Lainnya,
"Asli parah, masyarakat gak boleh diam aja sih, apa pendapat kalian?",Lainnya,
"Gue setuju sih, masih banyak orang baik yang peduli, cuma share aja",Lainnya,
"Gokil sih, semoga korban dapet bantuan hukum, semoga bermanfaat",Lainnya,
"Lo pernah liat video itu gak, miris banget lihat pembiaran kekerasan gitu, setuju gak?",Lainnya,
"Baru ngeh deh, akhirnya banyak yang buka suara soal ini 👏, semoga bermanfaat",Lainnya,
"Btw guys, lagi trending banget di explore, gak ada maksud jelek",Lainnya,
"Bener juga ya, masih nunggu penjelasan dari pihak berwenang, sekian aja sih",Lainnya,
"Lo pernah liat video itu gak, miris banget lihat pembiaran kekerasan gitu, peace all ✌️",Lainnya,
"Nyata banget ini, harusnya viral biar ditindak, any thoughts?",Lainnya,
"Nyata banget ini, belum tau latar belakangnya, santai aja bacanya",Lainnya,
"Anjir sumpah, pengen tau ending-nya gimana nanti, santai aja bacanya",Marah,
"Serius deh, masih nunggu penjelasan dari pihak berwenang, tetap waspada guys 💪",Lainnya,
"Lo pernah liat video itu gak, jangan takut speak up soal ketidakadilan, no hate ya",Takut,
"Nyata banget ini, rame banget yang repost, cuma share aja",Lainnya,
"Fix banget, semoga ini jadi titik balik perubahan, any thoughts?",Lainnya,
"Gue baru kepikiran, tugas polisi bukan jadi kameramen, curious ama pendapat lain",Lainnya,
"Gue setuju sih, masih banyak orang baik yang peduli, sekilas pikiran aja",Lainnya,
"Gue baru kepikiran, semoga institusi berbenah, let’s discuss",Lainnya,
"Ini mah keterlaluan, kok bisa kejadian di depan mapolri?, gak ada maksud jelek",Lainnya,
"Anjir sumpah, akhirnya banyak yang buka suara soal ini 👏, good vibes only",Marah,
"Asli parah, semoga ini jadi titik balik perubahan, peace all ✌️",Lainnya,
"Asli parah, mudah-mudahan jadi pelajaran buat semuanya, let’s discuss",Lainnya,
"Btw guys, bingung ama kronologinya, any thoughts?",Lainnya,
"Baru ngeh deh, mudah-mudahan jadi pelajaran buat semuanya, tetap waspada guys 💪",Lainnya,
"Bener juga ya, jangan takut speak up soal ketidakadilan, apa pendapat kalian?",Takut,
"Gue baru kepikiran, semoga Polri mau introspeksi, gak ada maksud jelek",Lainnya,
"Gak masuk akal sih, viral kayak gini penting biar dibuka matanya, cuma share aja",Lainnya,
"Ini mah keterlaluan, kalo rakyat kecil, pasti udah ditangkap tuh, any thoughts?",Lainnya,
"Fix banget, mudah-mudahan jadi pelajaran buat semuanya, penasaran ama opini kalian",Lainnya,
"Fix banget, belum ngerti konteks lengkapnya, santai aja bacanya",Lainnya,
"Btw guys, udah kayak negara tanpa hukum, semoga bermanfaat",Lainnya,
"Anjir sumpah, bikin malu banget sih polisi cuma rekam doang, gak ada maksud jelek",Marah,
"Serius deh, semoga institusi berbenah, sekilas pikiran aja",Lainnya,
"Sadar gak sih, masa kejadian kayak gitu ga ditindak?, setuju gak?",Lainnya,
"Gue gak habis pikir, bener-bener kehilangan rasa aman sih, let’s discuss",Sedih,
"Gokil sih, jangan takut speak up soal ketidakadilan, tetap waspada guys 💪",Takut,
"Ini mah keterlaluan, debt collector liar makin berani karena dibiarin, cmiiw ya",Lainnya,
"Bener juga ya, masih banyak orang baik yang peduli, apa pendapat kalian?",Lainnya,
"Kocak tapi miris, itu debt collector udah kayak preman, cmiiw ya",Lainnya,
"Bener juga ya, masa kejadian kayak gitu ga ditindak?, cuma share aja",Lainnya,
"Lo pernah liat video itu gak, malu banget ama instansi yang harusnya melindungi, penasaran ama opini kalian",Lainnya,
"Serius deh, semoga Polri mau introspeksi, peace all ✌️",Lainnya,
"Ini mah keterlaluan, debt collector liar makin berani karena dibiarin, sekilas pikiran aja",Lainnya,
